Title,Business Category,Body,Trip Advisor ID,Quarter,Address Line 1,Address Line 2,Town,Postcode,Longitude,Latitude,Telephone Number,Website,Email Address,Monday Opening Times,Tuesday Opening Times,Wednesday Opening Times,Thursday Opening Times,Friday Opening Times,Saturday Opening Times,Sunday Opening Times,Bank Holiday Opening Times,Facebook,Instagram,Twitter,Youtube
River Island,"Shopping, Clothing","Love fashion. Love River Island.
With over 60 years of fashion retailing experience, River Island is one of the most successful companies on the High Street.
River Island has nearly 300 stores across the UK, Ireland and internationally throughout Asia, the Middle East and Europe.
River Island is known for its stylish and affordable fashion and the unique touches we bring to our collections, which give us stand out from the rest of the High Street. Our customers love us for our great going-out looks, amazing denim and fabulous shoes and bags, as well as being the perfect place to pick up everything you could need to get a complete head-to-toe look.
At River Island we try really hard to bring new and original fashion to you, with design at the heart of absolutely everything we do. Almost everything is designed in-house and with one of the largest design teams on the High Street this means we can have fabulous new fashion arriving in-store and online every single week.",,Central,Sailmakers,15a Tavern Street,Ipswich,IP1 3BB,1.1540978,52.0586693,0344 826 9815,www.riverisland.com,,09:00 - 17:30,09:00 - 17:30,09:00 -17:30,09:00 - 17:30,09:00 -17:30,09:00 - 18:00,10:30 - 16:30,09:00 -17:30,https://www.facebook.com/riverisland,https://www.instagram.com/riverisland/,https://twitter.com/riverisland,https://www.youtube.com/user/RiverIslandTV?feature=mhum
Robert Gatward,"Shopping, Jewellery","At Robert Gatward Jewellers we offer the finest quality luxury jewellery and watches accompanied with the most personal and pleasurable customer service you will ever experience. We are stockists of an extensive collection of renowned brands including Pandora, Rolex and Michael Kors and we take pride in every piece of jewellery we sell. We are specialists in diamond bridal jewellery including wedding rings and engagement rings. In particular we specialise in platinum diamond engagement rings where we believe we create the best value platinum engagement rings you can buy in the UK today. As a local jewellery name for over 30 years we have successfully built an empire of six pretigious luxury and award-winning jewellery stores around the South and South East of the country. All of our lovely six branches supply a vast collection of our very own Robert Gatward platinum diamond engagement rings, gents and; ladies platinum wedding rings and we are proud to say they are all made in the UK. Our professional knowledgeable teams know exactly how to treat you to an exceptional bridal experience you will be telling your friends about for years to come!",,Central,37-41 Butter Market,,Ipswich,IP1 1BH,1.1552234,52.057186,01473 256514,www.robertgatwardjewellers.co.uk,,09:00 - 17:30,09:00 - 17:30,09:00 -17:30,09:00 - 17:30,09:00 -17:30,12:00 - 23:00,CLOSED,CLOSED,https://en-gb.facebook.com/robertgatwardjewellers,https://www.instagram.com/robertgatwardjewellers/,https://twitter.com/Robert_Gatward,
The Robert Ransome,"Food and Drink, Bars Clubs and Public Houses","The Robert Ransome, named after the

ancient bank and ditch built for the northern boundary of the town, is a busy

town centre Weatherspoon pub in the heart of Ipswich.

The pubs food menu

offers an exciting mix of traditional meals and specials with a range of

popular drinks for all. Their weekly club deals include the Steak Club every

Tuesday and Curry Club every Thursday are not to be missed! As well as a

great range of food and drink, the pub offers regular live entertainment and a

vibrant atmosphere for live sporting events.",7238174,Central,Tower Street,,Ipswich,IP1 3BE,1.1551831,52.058955,01473 341920,www.jdwetherspoon.co.uk,,08:00 - 23:59,08:00 - 23:59,08:00 -23:59,08:00 - 23:59,08:00 -01:30,CLOSED,08:00 - 23:00,08:00 - 00:00,,,,
Rymans,"Shopping, Books Crafts and Stationary","In the October of 1893, a young Henry Ryman flipped over the 'Open' sign to his brand new shop on Great Portland Street, London. Ryman Stationery was officially born. From then to now, we've had over 120 years' experience in providing essential stationery items, and expert product knowledge.",,Central,Sailmakers,Tavern Street,Ipswich,IP1 3BB,1.1551111,52.0591627,01473 281478,www.ryman.co.uk,,09:00 - 17:30,09:00 - 17:30,09:00 -17:30,09:00 - 17:30,09:00 -17:30,12:00 - 23:00,10:30 - 16:30,10:30 - 00:00,https://www.facebook.com/rymanstationery,https://www.instagram.com/rymanstationery/,https://twitter.com/rymanstationery,https://www.youtube.com/user/RymanStationery
Sainsburys,Food and Drink,,,Central,38-40 Upper Brook Street,,Ipswich,IP4 1DR,1.155772,52.0561332,01473 250877,www.sainsburys.co.uk,,08:00 - 18:30,08:00 - 18:30,08:00 -18:30,08:00 - 18:30,08:00 -18:30,12:00 - 23:00,10:30 - 16:30,09:00 - 00:00,https://www.facebook.com/sainsburys,https://www.instagram.com/sainsburys/,https://twitter.com/Sainsburys,https://www.youtube.com/user/Sainsburys
Salthouse Harbour Hotel,"Places to Stay, Hotels","This artfully designed 4 star boutique hotel and restaurant reflects luxury and dazzles in the waterfront of ipswich's vibrant harbour quayside at night. 
The Salthouse Harbour Hotel goes beyond what you expect and exudes its 4 star status in every curious corner, eccentric sofa and unstuffy cushion. The sea-salted brickwork exterior has been restored & rejuvenated into a contemporary warehouse of rich modern interiors and rooms adorned with vintage furniture, sculptures and eclectic art. Within its comfy chic d ecor although the mood is friendly and relaxed, the staff are professionally attentive to your every need. The cuisine is exciting and its popularity fills this delightful waterfront Eaterie.",279823,Waterfront,Neptune Quay,,Ipswich,IP4 1AX,1.160407,52.052762,01473 226789,www.salthouseharbour.co.uk,reservations@salthouseharbour.co.uk,24 Hours,24 Hours,24 Hours,24 Hours,24 Hours,24 Hours,24 Hours,24 Hours,https://www.facebook.com/SalthouseHarbourHotelIpswich,https://www.instagram.com/salthouse_hotel/,https://twitter.com/SalthouseHotel,https://www.youtube.com/watch?v=nJtlWWOqF74
Salutation Public House,"Food and Drink, Bars Clubs and Public Houses",,,Eastgate,65-67 Carr Street,,Ipswich,IP4 1HB,1.1589975,52.0573439,01473 254357,,,11:00 - 23:30,11:00 - 23:30,11:00 -23:30,11:00 - 23:30,11:00 -23:30,12:00 - 23:00,11:00 - 23:30,11:00 - 00:00,,,,
Sanctuary Personnel,"Professional Services, Recruitment","Sanctuary Personnel was founded in 2002 to provide qualified social workers and care professionals to social services throughout the UK. In the years since, our responsiveness and commitment to best practice have seen us grow in stature and reputation and win a clutch of industry awards. Today, Sanctuary Personnel employs 100 people at its Ipswich headquarters and offers nationwide social work employment opportunities with a wide range of public and private sector employers.   

They are a preferred supplier to the NHS on the Government Procurement Service framework and on contract with NHS Scotland and Northern Ireland). Their client list includes over 180 local authorities (90% of the UK's total), key government bodies such as Cafcass, major charities including NSPCC and SSAFA and many private sector employers across the UK. As a division of Sanctuary Health and Social Care Group, Sanctuary Personnel is part of the UK's largest independent social work recruitment company. Other Group divisions include Sanctuary Allied Health and Sanctuary Mental Health.",,Westgate,15 Friars Street,,Ipswich,IP1 1TD,1.1604068,52.052762,0333 700 0022,www.sanctuarypersonnel.com,,08:30 - 18:00,08:30 - 18:00,08:30 -18:00,08:30 - 18:00,08:30 -18:00,12:00 - 23:00,CLOSED,CLOSED,https://www.facebook.com/sanctuarypersonnelltd/,,https://twitter.com/sanctuaryltd,https://www.youtube.com/user/sanctuarypersonnel
Savills,"Professional Services, Estate Agents","Savills plc is a global real estate services provider listed on the London Stock Exchange. We have an international network of more than 500 offices and associates throughout the Americas, the UK, continental Europe, Asia Pacific, Africa and the Middle East, offering a broad range of specialist advisory, management and transactional services to clients all over the world.",,Westgate,50 Princes Street,,Ipswich,IP1 1RJ,1.1500993,52.0558741,01473 234800,www.savills.co.uk,,08:30 - 18:00,08:30 - 18:00,08:30 -18:00,08:30 - 18:00,08:30 -18:00,12:00 - 23:00,CLOSED,CLOSED,,,https://twitter.com/savills,https://www.youtube.com/user/SavillsUK
Sense Charity,"Shopping, Budget Charity and Convenience",Charity shop raising funds for the deaf and blind.,,Central,15 - 17 Upper Brook Street,,Ipswich,IP4 1EG,1.156427,52.0571523,01473 289455,www.sense.org.uk,,09:00 - 17:00,09:00 - 17:00,09:00 -17:00,09:00 - 17:00,09:00 -17:00,12:00 - 23:00,10:00 - 16:00,10:00 - 00:00,https://www.facebook.com/senseuk,,https://twitter.com/Sensetweets,https://www.youtube.com/user/SenseCharity
Shoe Zone,"Shopping, Footwear","Shoe shop for men, women and children.",,Westgate,42 Westgate Street,,Ipswich,IP1 3ED,1.1501851,52.0588981,01473 286981,www.shoezone.com,,09:00 - 17:30,09:00 - 17:30,09:00 -17:30,09:00 - 17:30,09:00 -17:30,12:00 - 23:00,10:00 - 16:00,10:00 - 00:00,https://www.facebook.com/shoezone,https://www.instagram.com/shoezoneuk/,https://twitter.com/shoezone,
Shuropody,"Shopping, Footwear","We are passionate about everything that's good for feet. We are the UK's largest provider of private chiropody, offering a professional and caring podiatry service.",,Central,23 Upper Brook Street,,Ipswich,IP4 1ED,1.1564127,52.0567366,01473 254949,www.shuropody.com,,09:00 - 17:30,09:00 - 17:30,09:00 -17:30,09:00 - 17:30,09:00 -17:30,12:00 - 23:00,CLOSED,CLOSED,,,https://twitter.com/shuropody,
Snappy Snaps,"Shopping, Cards and Gifts",,,Central,Thoroughfare,,Ipswich,IP1 1BX,1.1533514,52.0574533,01473 213982,ipswich.snappysnapsonline.com,,08:30 - 17:15,08:30 - 17:15,08:30 -17:15,08:30 - 17:15,08:30 -17:15,12:00 - 23:00,10:30 - 16:00,09:00 - 00:00,,,,
Sole Trader,"Shopping, Footwear",,#N/A,Central,28 Tavern Street,,Ipswich,IP1 3AS,1.1546132,52.0576431,01473 230246,www.soletrader.co.uk,,09:00 - 17:30,09:00 - 17:30,09:00 -17:30,09:00 - 17:30,09:00 -18:00,12:00 - 23:00,10:30 - 16:30,10:30 - 00:00,,,https://twitter.com/SOLETRADER,
Specsavers,"Health and Beauty, Opticians",,,Eastgate,Carr Street,,Ipswich,IP4 1HA,1.1576107,52.0575858,01473 210333,www.specsavers.co.uk,,08:30 - 18:00,08:30 - 18:00,08:30 -18:00,08:30 - 19:30,08:30 -18:00,12:00 - 23:00,09:00 - 17:00,10:00 - 00:00,https://www.facebook.com/Specsavers,https://www.instagram.com/specsavers/,https://twitter.com/Specsavers,https://www.youtube.com/user/SpecsaversOfficial
Spicer McColl,"Professional Services, Estate Agents",,,Westgate,Princes Street,,Ipswich,IPQ 1QT,1.1481666,52.0549478,01473 219112,www.spicer.co.uk,,08:30 - 18:00,08:30 - 19:00,08:30 -18:00,08:30 - 19:00,08:30 -18:00,12:00 - 23:00,10:00 - 14:00,10:00 - 00:00,,,,
Sports Direct,"Shopping, Clothing, Footwear",,,Eastgate,27 Carr Street,,Ipswich,IP4 1HA,1.1576107,52.0575858,0844 332 5366,www.sportsdirect.com,,09:00 - 17:30,09:00 - 17:30,09:00 -17:30,09:00 - 17:30,09:00 -17:30,12:00 - 23:00,10:00 - 16:00,09:00 - 00:00,https://www.facebook.com/SportsDirectUK/,https://www.instagram.com/sportsdirectuk/,https://twitter.com/sportsdirectuk,https://www.youtube.com/user/SportsDirectOfficial/
St. Elizabeth Hospice shop,"Shopping, Budget Charity and Convenience","The Hospice currently has 26 shops throughout East Suffolk and South Norfolk, selling a mixture of donated and new goods. Our shops are reliant on the donation of goods and a team of volunteers to keep them fully stocked and open. You'll find a great selection of quality items to choose from, including: clothing; accessories; books; DVDs; electrical items and bric-a-brac.",,Central,Dogs Head Street,,Ipswich,IP4 1AD,1.1554944,52.0559696,01473 289111,www.stelizabethhospice.org.uk,,09:00 - 16:30,09:00 - 16:30,09:00 -16:30,09:00 - 16:30,09:00 -16:30,12:00 - 23:00,CLOSED,CLOSED,https://www.facebook.com/Stelizabethhospice,,https://twitter.com/StElizabethHosp,https://www.youtube.com/user/StElizabethHospice
Staples UK,"Shopping, Electrical, Home and Garden",In your nearby Staples retail store you can benefit from the expert knowledge of our staff and profit from our enormous selection of branded items and our consistently cheaper alternatives.,,,2-4 Russell Road,,Ipswich,IP1 2BE,1.1457404,52.0535235,0844 472 7918,www.staples.co.uk,,08:00 - 20:00,08:00 - 20:00,08:00 -20:00,08:00 - 20:00,08:00 -20:00,12:00 - 23:00,10:30 - 16:30,09:00 - 00:00,https://www.facebook.com/staplesuk,https://www.youtube.com/channel/UCaH_vVaJ3LbVDIuwOGy87w,https://twitter.com/StaplesUK,
Starbucks,"Food and Drink, Tea Houses Coffee Shops and Cafes",Coffee shophttp://www.allaboutipswich.com/whats-on/events.aspx,,Central,49-51 Tavern Street,,Ipswich,IP1 3AG,1.1558921,52.0576433,01473 214760,www.starbucks.co.uk,,07:30 - 18:30,07:30 - 18:30,07:30 -18:30,07:30 - 18:30,07:30 -18:30,12:00 - 23:00,09:00 - 17:00,09:00 - 00:00,https://www.facebook.com/starbucksuk,https://www.instagram.com/starbucksuk/,https://twitter.com/starbucksuk,
Strutt and Parker,"Professional Services, Estate Agents","Strutt and; Parker's estate agents and property consultants work in partnership with clients to deliver their goals , whether their interests are in residential, commercial, rural or development property.",,Westgate,11 Museum Street,,Ipswich,IP1 1HH,1.1506083,52.0578361,,www.struttandparker.com,,08:30 - 17:30,08:30 - 17:30,08:30 -17:30,08:30 - 17:30,08:30 -17:30,12:00 - 23:00,CLOSED,CLOSED,https://www.facebook.com/struttandparker,https://www.instagram.com/struttandparker/,https://twitter.com/struttandparker,
Suitcase TV,"Shopping, Electrical",Hardware and software solutions for the broadcast industry specialising in workflows and editing suites.,,Saints,30 Silent Street,,Ipswich,IP1 1TF,1.1540661,52.0555681,01473 258251,www.suitcasetv.com,,07:30 - 19:00,07:30 - 19:00,07:30 -19:00,07:30 - 19:00,07:30 -19:00,CLOSED,CLOSED,CLOSED,https://www.facebook.com/SuitcaseTV/,,https://twitter.com/suitcasetv,https://www.youtube.com/user/thesuitcasetv
Shakeaway,"Food and Drink, Sweets Chocolate and Desserts","Milkshakes, smoothies, teas and coffees.",,Central,Butter Market,,Ipswich,IP1 1BP,1.1543151,52.0569906,01473 213829,www.shakeaway.com,,09:00 - 17:30,09:00 - 17:30,09:00 -17:30,09:00 - 17:30,09:00 -17:30,12:00 - 23:00,10:00 - 16:30,10:00 - 00:00,https://www.facebook.com/shakeawayland,https://www.instagram.com/Shakeaway_official/,https://twitter.com/shakeawayland,https://www.youtube.com/user/ShakeAwayFan
"Superdrug, Carr St","Shopping, Cosmetics","Shop the biggest brands in everyday Health & Beauty and exclusive products all at great prices.

With big make up brands like Barry M, Bourjois, Rimmel London, Max Factor and lots more; summer care, tanning products, perfume, travel minis, baby products - everything to keep you and your family looking and feeling beautiful.
",,Westgate,Superdrug,39-41 Carr Street,Ipswich,IP4 1HA,1.15801,52.057506,01473 287681,https://www.superdrug.com/store/ipswich,,09:00 - 17:30,09:00 - 17:30,09:00 - 17:30,09:00 - 17:30,09:00 - 17:30,09:00 - 17:30,10:00 - 16:00,10:00 - 16:00,https://www.facebook.com/Superdrug,https://www.instagram.com/superdrugloves/,https://twitter.com/superdrug,https://www.youtube.com/user/superdrugloves?sub_confirmation=1
Swinton,"Professional Services, Financial and Legal Services","Swinton Insurance is an insurance brokerage, established in 1957, registered in England. It has over 400 branches across the United Kingdom and in excess of 4,500 employees.",,Westgate,Princes Street,,Ipswich,IP1 1RJ,1.1504327,52.0561412,01473 225043,,,09:00 - 19:30,09:00 - 17:30,09:00 -17:30,09:00 - 19:30,09:00 -17:30,CLOSED,CLOSED,CLOSED,https://www.facebook.com/SwintonInsurance/,,https://twitter.com/SwintonGroup,
The Body Shop,"Shopping, Cosmetics","We believe true beauty comes from the heart. For us, beauty is much more than a pretty face.

We make our products with love and care. We source some of the finest raw ingredients from the four corners of the globe. We harness the skills of artisan farmers and add our expertise to create effective products that are wonderful to use.



We trade fairly so communities benefit as well as you. We never test on animals, and all our products are 100% vegetarian. We campaign with passion on issues close to our heart, because activism is in our blood. We always keep people, animals and the planet in mind. So when you shop with us, you are choosing...",,Central,17 Tavern Street,,Ipswich,IP1 3AA,1.1544596,52.0578665,01473 216610,www.thebodyshop.co.uk,,09:00 - 17:30,09:00 - 17:30,09:00 -17:30,09:00 - 17:30,09:00 -17:30,CLOSED,10:30 - 16:30,10:30 - 00:00,https://www.facebook.com/TheBodyShopUK/,,https://twitter.com/thebodyshopuk,https://www.youtube.com/c/bodyshopuk
The Entertainer,"Shopping, Toys",Toy shop,,Eastgate,15 Carr Street,,Ipswich,IP4 1ER,1.1570145,52.0576456,0844 800 5143,www.thetoyshop.com,,09:00 - 17:30,09:00 - 17:30,09:00 -17:30,09:00 - 17:30,09:00 -17:30,CLOSED,CLOSED,10:00 - 00:00,https://www.facebook.com/TheEntertainerToyShop,https://www.instagram.com/entertainer_toys/,https://twitter.com/ENTertainertoys,
The Health Store,"Shopping, Cosmetics",Independent health store,,Central,Butter Market,,Ipswich,IP1 1BH,1.154743,52.0566295,01473 221688,www.healthstoreipswich.co.uk,,09:00 - 17:30,09:00 - 17:30,09:00 -17:30,09:00 - 17:30,09:00 -17:30,CLOSED,17:30 - 00:00,CLOSED,https://www.facebook.com/thehealthstoreip/,https://www.instagram.com/health_store_ip/,https://twitter.com/health_store_ip,
Hearing Care Centre,"Health and Beauty, Audiologist","WINNER of the EADT Business Awards 2017 SHOWCASING EXCELLENCE AWARE

The Hearing Care Centre is East Anglia's multi-award winning private hearing care company. The company has 22 local centres across Suffolk and Norfolk with its primary base in Ipswich town centre.",,Central,11 Upper Brook Street,,Ipswich,IP4 1EG,1.156449,52.057271,01473 230330,www.hearingcarecentre.co.uk,,09:00 - 17:00,09:00 - 17:00,09:00 -17:00,09:00 - 17:00,09:00 -17:00,CLOSED,CLOSED,CLOSED,https://www.facebook.com/HearingCareCentre/,https://www.youtube.com/user/HearingCareCentre,https://twitter.com/search?q=the%2hearing%2care%2centre&src=typd,
The Perfume Shop,"Shopping, Cosmetics","The Perfume Shop is the UK's largest specialist fragrance retailer with over 250 stores nationwide, selling all major designer fragrance brands at value for money prices.

The Perfume Shop also gives its customers that little bit more:

+ FREE standard delivery available online

+ FREE Click and; Collect Service

+ FREE gift wrap service available in store

+ FREE impartial perfume advice

+ FREE Rewards Club Membership to earn Perfume Points every time you spend

The Perfume Shop Rewards Club Card is one of the most generous loyalty scheme on the high street where customers receive 1 point for every £1 they spend, once a customer has collected 100 points they will receive £5 off their next transaction.

The Perfume Shop prides itself on providing unrivalled customer service that is tied in with expert perfume knowledge passed on to each and every customer. Walk into a store today and you'll find staff behind the counter who are passionate about scents and have been trained to help you make the perfect perfume purchase.

There are over 1,000 sales advisors working in over 250 stores nationwide. Those looking for advice on finding the perfect token of affection are in expert hands. The Perfume Shop boasts the largest number of industry recognised graduates of The Fragrance Foundation Online Training Programme in the UK as well as working with stores on an intensive Learning and; Development programme.



http://www.theperfumeshop.com/store/ipswich-the-perfume-shopwww.theperfumeshop.com



",,Central,Sailmakers,Tavern Street,Ipswich,IP1 3BB,1.1539689,52.0584549,01473 289899,www.theperfumeshop.com,,09:00 - 17:30,09:00 - 17:30,09:00 -17:30,09:00 - 17:30,09:00 -17:30,CLOSED,10:00 - 16:00,10:00 - 00:00,https://www.facebook.com/theperfumeshoponline/,https://www.instagram.com/theperfumeshop/,https://twitter.com/ThePerfumeShop,https://www.youtube.com/user/ThePerfumeShopOnline
The Plough,"Food and Drink, Bars Clubs and Public Houses","The Plough is a traditional town

centre pub ideal for a quiet drink, a business lunch or simply somewhere to

relax after work. The pub is a popular venue for all, serving a varied pub food

menu from a big breakfast, a midweek lunch or a fantastic evening meal, with

friendly and efficient table service. At the weekends the Plough offers live

pub entertainment and a space for private parties.In the busy and

bustling pub you can experience a range of perfectly served drinks including

draft and bottled beers, ales and ciders from around the world.",3175933,Central,2 Dogs Head Street,,Ipswich,IP4 1AD,1.1556853,52.0559457,01473 288005,www.ploughipswich.co.uk,,11:00 - 23:00,11:00 - 23:00,11:00 -23:00,11:00 - 23:00,11:00 -00:00,CLOSED,12:00 - 22:00,11:00 - 00:00,,,,
The Swan,"Food and Drink, Bars Clubs and Public Houses","The Swan is a local pub in the heart of Ipswich whichregularlyfeatures live music and great entertainment.

",1902760,Westgate,King Street,,Ipswich,IP1 1EG,1.1522273,52.0572916,01473 252485,,,12:00 - 23:00,12:00 - 23:00,12:00 -23:00,12:00 - 00:00,12:00 -01:00,CLOSED,17:00 - 23:00,15:00 - 00:00,,,,
The Thomas Wolsey,"Food and Drink, Bars Clubs and Public Houses",,7032492,Saints,St Peter's Street,,Ipswich,IP1 1XF,1.1533934,52.0542632,01473 210055,,,16:30 - 23:00,16:30 - 23:00,16:30 -23:00,16:30 - 23:00,16:30 -01:00,CLOSED,CLOSED,CLOSED,,,,
The Works,"Shopping, Books Crafts and Stationary","discount book store, art and stationary materials with a fantastic range of children's products and gifts.",,Central,46-48 Butter Market,,Ipswich,IP1 1BT,1.1558116,52.0569336,01473 210304,www.theworks.co.uk,,09:00 - 17:30,09:00 - 17:30,09:00 -17:30,09:00 - 17:30,09:00 -17:30,CLOSED,10:00 - 16:00,10:00 - 00:00,https://www.facebook.com/TheWorksStores,,https://twitter.com/TheWorksStores,https://www.youtube.com/user/TheWorksStores
Thomas Cook,"Professional Services, Travel and Transport",Travel agents,,Central,36 Tavern Street,,Ipswich,IP1 3AP,1.1549312,52.0576123,01473 550140,www.thomascook.com,,09:00 - 17:30,10:00 - 17:30,09:00 -17:30,09:00 - 17:30,09:00 -17:30,CLOSED,10:00 - 16:00,10:00 - 00:00,https://www.facebook.com/thomascook/,https://www.instagram.com/thomascook/,https://twitter.com/ThomasCookUK,https://www.youtube.com/user/thomascookuk
TUI,"Professional Services, Travel and Transport","""When it comes to booking a holiday, we know everyone likes something different - so we've designed our getaways with you in mind. Our TUI SENSATORI resorts are all about luxury, while TUI FAMILY LIFE hotels cater to everyone, and our TUI SENSIMAR collection is just for adults. As one of the biggest UK holiday companies, we're here whenever you need us - via our stores, website or 24/7 Holidayline.""",,Central,58 Tavern Street,,Ipswich,IP1 3AJ,1.1561303,52.0575845,01473 212555,https://www.tui.co.uk/,,09:00 - 17:30,10:00 - 17:30,09:00 - 17:30,09:00 - 17:30,09:30 - 17:30,09:00 - 17:30,10:30 - 16:30,10:30 - 16:30,https://www.facebook.com/TUIUnitedKingdom,https://www.instagram.com/tuiuk/,https://twitter.com/TUIUK,https://www.youtube.com/user/ThomsonHols
Thorntons,Food and Drink,Confectioners,,Central,16 Tavern Street,,Ipswich,IP1 3AY,1.1539738,52.0573236,01473 230643,www.thorntons.co.uk,,09:00 - 17:30,09:00 - 17:30,09:00 -17:30,09:00 - 17:30,09:00 -17:30,CLOSED,10:30 - 16:30,10:30 - 00:00,https://www.facebook.com/Thorntons.Official,,https://twitter.com/thorntonschocs,
Three,"Shopping, Electrical",Mobile communications,,Central,41 Tavern Street,,Ipswich,IP1 3AG,1.1558512,52.0577491,01473 214003,www.three.co.uk,,09:00 - 17:30,09:00 - 17:30,09:00 -17:30,09:00 - 17:30,09:00 -17:30,CLOSED,10:00 - 17:00,10:00 - 00:00,https://www.facebook.com/ThreeUK/,https://www.instagram.com/threeuk/,https://twitter.com/threeuk,https://www.youtube.com/user/three
TK Maxx,"Shopping, Clothing, Home and Garden, Shopping Centres and Department Stores",At TK Maxx we deliver great value on ever-changing selections of brand name and designer products at prices up to 60% less than the RRP and at a significant discount to the prices in a department store or on the high street.,,Central,Butter Market,,Ipswich,IP11DT,1.1538137,52.056604,01473 226800,www.tkmaxx.com,,09:00 - 18:00,09:00 - 17:30,09:00 -17:30,09:00 - 17:30,09:00 -17:30,CLOSED,10:00 - 16:30,10:00 - 00:00,https://www.facebook.com/tkmaxx,https://www.instagram.com/tkmaxx/,https://twitter.com/TKMaxx_UK,https://www.youtube.com/user/LoveTKMaxx
Toni & Guy,"Health and Beauty, Hairdressers and Barbers",Hairdressers,,Central,50 Butter Market,,Ipswich,IP1 1BT,1.1558137,52.0569325,01473 210899,www.toniandguy.co.uk,,09:30 - 17:30,09:00 - 19:30,09:00 -19:30,09:00 - 19:30,09:00 -19:30,CLOSED,CLOSED,CLOSED,https://www.facebook.com/toniandguyworld/,https://www.instagram.com/toniandguyworld/,https://twitter.com/toniandguyworld,https://www.youtube.com/user/officialtoniandguy
Topshop,"Shopping, Clothing","You know Topshop as the style setter and star of your wardrobe, but over the years we've become so much more! From the charities we sponsor to our work at London Fashion Week, our love of everything fashion knows no bounds!",,Central,Sailmakers,Tavern Street,Ipswich,IP1 3BB,1.1539689,52.0584549,01473 230455,www.topshop.com,,09:00 - 17:30,09:00 - 17:30,09:00 -17:30,09:00 - 17:30,09:00 -17:30,CLOSED,10:30 - 16:30,10:30 - 00:00,https://www.facebook.com/Topshop/,https://www.instagram.com/topshop/,https://twitter.com/Topshop,https://www.youtube.com/user/TopshopPodcasts
Topman,"Shopping, Clothing","From British high street phenomenon to worldwide dominator, Topman has come a long way since its inception in 1978 with over 250 stores in the UK and a further 154 stores internationally across 31 countries.",,Central,Sailmakers,Tavern Street,Ipswich,IP1 3BB,1.1545927,52.0576903,01473 230455,www.topman.com,,09:00 - 17:30,09:00 - 17:30,09:00 -17:30,09:00 - 17:30,09:00 -17:30,CLOSED,10:30 - 16:30,10:30 - 00:00,https://www.facebook.com/topman,https://www.instagram.com/topman/,https://twitter.com/topman?lang=en-gb,https://www.youtube.com/user/topman
Trespass,"Shopping, Clothing",Performance outdoor clothing and equipment.,,Westgate,41-43 Westgate Street,,Ipswich,IP1 3DX,1.1503045,52.058623,01473 219471,www.trespass.com,,09:00 - 17:30,09:00 - 17:30,09:00 -17:30,09:00 - 17:30,09:00 -17:30,CLOSED,10:00 - 16:00,10:00 - 00:00,https://www.facebook.com/trespass,https://www.instagram.com/Trespass/,https://twitter.com/Trespass,
Twist n Shout,"Shopping, Clothing",Twist n Shout Ipswich opened as Merc Ipswich on Saturday the 6th November 2010. We aim to bring the essence of Carnaby Street London to Ipswich. With fantastic men's clothing stocking many ranges including Merc and Lambretta. We hope to see you soon!,,Central,St Stephen's Lane,,Ipswich,IP1 1DP,1.1538864,52.0564683,01473 232932,,,09:00 - 17:00,09:00 - 17:00,09:00 -17:00,09:00 - 17:00,09:00 -17:00,CLOSED,10:00 - 16:00,CLOSED,https://www.facebook.com/Twist-N-Shout-Ipswich-163077590399903/,,https://twitter.com/twistnshoutips,
Urban Vintage,"Shopping, Clothing","

Urban Vintage opened February 2006 with a 1000 square foot store in the heart of Ipswich, it soon became a favourite destination for the fashion conscious individual. Since then the store has evolved quickly, bringing in a stream of new brands but also sticking with a few firm favourites. In December 2009 we moved to a new 1700 square foot site and only a year later extended to house a new premium section. In the last few years we have redesigned and refurbished the store to create an even more customer friendly environment.

In 2012 following being shortlisted finalists on three occasions we were winners of the UK's Best Young Fashion Store title at the prestigious Drapers Industry Awards. The store is judged from all aspects with a very high standard being required even for nomination. In 2012 and 13 we also finished 17th and 27th in the Drapers Inspiring Independents Awards, we believe this recognition is a result of our constant desire to evolve and provide the best possible service we can to our customers.

Our main aim at Urban Vintage has always been to provide an enjoyable shopping experience for our customers whether shopping online or in store, we pride ourselves on our customer service and the fact we offer honest reliable advice. We feel that this is reflected in our customer database, which is growing rapidly but also retains the customers that have been loyal to us since the day we opened.

We are official stockists of all brands featured on our site, shop with us with confidence.

Visit the Facebook https://www.facebook.com/UrbanVintageMenswearhere, Twitter https://mobile.twitter.com/URBANVINTAGEMENhereand the Instagram https://www.instagram.com/urbanvintagemenswear/here",,Central,20 Queen Street,,Ipswich,IP1 1SS,1.1522858,52.0565041,01473 210884/216776,www.urban-vintage.com,,09:30 - 17:30,09:30 - 17:30,09:30 -17:30,09:30 - 17:30,09:30 -18:00,CLOSED,10:30 - 16:30,10:30 - 00:00,https://www.facebook.com/UrbanVintageMenswear,https://www.instagram.com/urbanvintagemenswear/,https://twitter.com/urbanvintagemen,
